selADE,selFDE,total_violated,sl_violated,tier_0_violated,tier_1_violated,tier_2_violated,tier_3_violated,infeasible_selected
4.836949825286865,10.760415077209473,False,False,False,False,False,False,False
1.458857536315918,2.067537307739258,True,True,True,False,False,False,False
0.9740270376205444,0.9479340314865112,False,False,False,False,False,False,False
0.2108536660671234,0.07857944816350937,False,False,False,False,False,False,False
5.937539577484131,14.285715103149414,True,False,False,False,False,True,False
0.43045422434806824,0.3584171533584595,False,False,False,False,False,False,False
6.270358562469482,15.548276901245117,True,True,True,False,False,False,False
1.9315805435180664,2.6074390411376953,False,False,False,False,False,False,False
3.6588690280914307,4.475025653839111,True,False,False,False,False,True,False
1.3717951774597168,1.687381625175476,False,False,False,False,False,False,False
4.33984375,7.621523857116699,False,False,False,False,False,False,False
0.4823184609413147,1.0568369626998901,False,False,False,False,False,False,False
0.6837043166160583,1.2227836847305298,True,True,True,False,False,False,False
6.64220666885376,20.772539138793945,True,False,False,False,False,True,False
2.7539005279541016,8.166951179504395,False,False,False,False,False,False,False
1.9127967357635498,2.836160659790039,True,True,True,False,False,False,False
0.0778411477804184,0.07533066719770432,True,True,True,False,False,False,False
1.8365750312805176,2.8176679611206055,True,False,False,False,False,True,False
1.0523260831832886,3.313671112060547,False,False,False,False,False,False,False
0.5302327275276184,0.46582677960395813,True,True,True,False,False,False,False
2.371380567550659,3.193214178085327,False,False,False,False,False,False,False
4.89839506149292,12.109834671020508,True,False,False,False,True,True,False
12.28696060180664,32.97608947753906,False,False,False,False,False,False,False
0.5900428891181946,0.5425382852554321,True,True,True,False,False,False,False
2.5217301845550537,2.464343786239624,True,True,True,False,False,False,False
2.8126325607299805,5.224302768707275,False,False,False,False,False,False,False
3.190802812576294,8.97291088104248,True,True,True,False,False,False,False
3.252977132797241,4.9015655517578125,False,False,False,False,False,False,False
2.3859615325927734,3.272101402282715,True,True,True,False,False,False,False
0.44903117418289185,0.6822472214698792,False,False,False,False,False,False,False
2.0234618186950684,3.5592217445373535,False,False,False,False,False,False,False
2.3779308795928955,3.051607370376587,True,False,False,False,False,True,False
0.5719900727272034,0.5537182688713074,False,False,False,False,False,False,False
2.3865909576416016,4.088164806365967,False,False,False,False,False,False,False
3.064038038253784,4.963257789611816,False,False,False,False,False,False,False
0.625023365020752,0.47115814685821533,True,False,False,False,False,True,False
5.163660049438477,12.764732360839844,False,False,False,False,False,False,False
0.39124780893325806,0.9736828804016113,False,False,False,False,False,False,False
2.2334201335906982,3.765880584716797,False,False,False,False,False,False,False
0.7151645421981812,0.7370880842208862,True,True,True,False,False,False,False
3.235043525695801,6.982351779937744,True,True,True,False,False,False,False
0.7322448492050171,0.5004019737243652,False,False,False,False,False,False,False
2.198000431060791,4.445312023162842,False,False,False,False,False,False,False
3.5220861434936523,7.5936689376831055,True,False,False,False,False,True,False
1.9069794416427612,5.493195533752441,False,False,False,False,False,False,False
3.8150768280029297,5.908737659454346,False,False,False,False,False,False,False
0.8723035454750061,0.992958128452301,True,True,True,False,False,False,False
0.42718127369880676,0.8073912858963013,True,True,True,False,False,False,False
0.9399687051773071,0.9758482575416565,False,False,False,False,False,False,False
1.4406534433364868,2.078800916671753,False,False,False,False,False,False,False
1.3318296670913696,2.040254831314087,True,True,True,False,False,False,False
3.560565710067749,4.901149272918701,True,True,True,False,False,False,False
1.1171951293945312,1.987274169921875,False,False,False,False,False,False,False
0.43650659918785095,0.2959062457084656,False,False,False,False,False,False,False
0.5054243803024292,0.44175177812576294,False,False,False,False,False,False,False
0.8591238260269165,1.7396923303604126,False,False,False,False,False,False,False
2.6081604957580566,3.14638352394104,False,False,False,False,False,False,False
0.8156008124351501,0.8529106974601746,True,True,True,False,False,False,False
0.40761739015579224,1.1151950359344482,False,False,False,False,False,False,False
3.8284475803375244,8.654800415039062,False,False,False,False,False,False,False
0.22779616713523865,0.5013890862464905,False,False,False,False,False,False,False
2.9125185012817383,3.8023271560668945,True,True,True,False,False,False,False
0.592988133430481,0.6285560727119446,False,False,False,False,False,False,False
0.642977237701416,0.5929082632064819,False,False,False,False,False,False,False
1.3088490962982178,2.087261438369751,False,False,False,False,False,False,False
1.9896326065063477,4.4237751960754395,False,False,False,False,False,False,False
1.57393217086792,5.940032482147217,False,False,False,False,False,False,False
0.9435976147651672,0.9960499405860901,False,False,False,False,False,False,False
