selADE,selFDE,total_violated,sl_violated,tier_0_violated,tier_1_violated,tier_2_violated,tier_3_violated,infeasible_selected
3.500502824783325,9.045519828796387,True,True,False,True,True,True,False
1.458857536315918,2.067537307739258,True,True,True,False,True,True,False
1.9263529777526855,6.649348735809326,True,False,False,False,True,True,False
0.6267450451850891,0.8528967499732971,True,True,True,False,True,False,False
1.0096418857574463,1.554029107093811,True,True,True,False,True,True,False
0.43045422434806824,0.3584171533584595,True,True,True,False,True,False,False
6.270358562469482,15.548276901245117,True,True,True,False,True,True,False
3.5132229328155518,4.933371067047119,True,True,False,True,True,True,False
1.2724047899246216,2.360666513442993,True,True,True,True,True,True,False
2.603764533996582,3.32686448097229,True,False,False,False,False,True,False
2.169066905975342,2.7014880180358887,True,False,False,False,True,True,False
0.7465840578079224,0.6699993014335632,True,True,True,False,False,True,False
0.45612984895706177,0.36187219619750977,True,True,True,False,True,True,False
6.64220666885376,20.772539138793945,True,False,False,False,True,True,False
2.3888587951660156,2.96028470993042,True,False,False,False,True,True,False
0.23492304980754852,0.47297221422195435,True,True,True,False,True,True,False
0.0778411477804184,0.07533066719770432,True,True,True,False,False,False,False
1.8365750312805176,2.8176679611206055,True,True,True,False,True,True,False
8.277848243713379,22.437381744384766,True,False,False,False,True,True,False
0.5302327275276184,0.46582677960395813,True,True,True,False,True,False,False
2.987926483154297,4.185717582702637,True,True,True,False,True,False,False
3.5385231971740723,10.181784629821777,True,True,False,True,True,True,False
15.494336128234863,38.39922332763672,True,False,False,False,True,True,False
0.6735250353813171,0.9510794878005981,True,True,True,False,True,False,False
2.5217301845550537,2.464343786239624,True,True,True,False,True,True,False
2.1475417613983154,2.7298622131347656,True,False,False,False,True,True,False
5.940617084503174,15.738819122314453,True,True,True,False,True,True,False
2.837442398071289,3.7264723777770996,True,True,True,True,True,True,False
4.046716213226318,5.632903099060059,True,True,True,False,True,True,False
0.44903117418289185,0.6822472214698792,False,False,False,False,False,False,False
3.813387393951416,4.376377582550049,True,True,True,True,True,True,False
2.3779308795928955,3.051607370376587,True,True,False,True,True,True,False
0.5719900727272034,0.5537182688713074,True,True,True,False,False,False,False
5.570707321166992,12.955628395080566,True,False,False,False,True,True,False
3.064038038253784,4.963257789611816,True,True,True,True,True,True,False
2.174612283706665,3.382436990737915,True,False,False,False,True,True,False
6.6306939125061035,16.896028518676758,True,True,True,False,False,True,False
6.838268280029297,18.6289119720459,True,False,False,False,True,True,False
1.4380292892456055,1.6987353563308716,True,False,False,False,True,True,False
0.7151645421981812,0.7370880842208862,True,True,True,False,False,False,False
