scenario_idx,minADE,minFDE,miss
227,0.325095,0.202933,0
228,0.921677,2.246105,1
229,3.267594,13.239606,1
230,0.113666,0.095623,0
231,0.075956,0.079543,0
232,0.363416,0.187706,0
233,0.798455,0.914583,0
234,0.504567,0.583865,0
235,0.386903,0.430837,0
236,0.641012,0.951280,0
237,1.244323,3.860071,1
238,0.099209,0.091031,0
239,0.316136,0.461122,0
240,2.453956,2.915556,1
241,0.515201,0.745021,0
242,0.284102,0.712059,0
243,0.100572,0.107797,0
244,0.096523,0.049820,0
245,0.442163,0.259337,0
246,1.939234,3.348974,1
247,1.080186,4.449314,1
248,0.088263,0.067955,0
249,0.597747,2.029651,1
250,0.781728,2.228962,1
251,0.276601,0.552543,0
252,0.084333,0.077916,0
253,0.082183,0.121627,0
254,0.418542,0.925169,0
255,0.348021,0.103548,0
256,1.182612,1.366566,0
257,1.540258,5.045413,1
258,0.847935,1.922863,0
259,0.358286,0.492668,0
260,1.840367,1.651744,0
261,0.444402,1.844535,0
262,0.729256,0.523750,0
263,0.118932,0.114949,0
264,0.444378,1.136441,0
265,1.201011,1.037930,0
266,0.491060,0.594774,0
267,0.522204,0.909083,0
268,1.440687,3.174732,1
269,0.590805,0.368064,0
270,1.520513,2.252945,1
271,0.639981,0.810945,0
272,0.339195,0.146970,0
273,0.158473,0.092062,0
274,0.090205,0.062859,0
275,0.242557,0.392937,0
276,1.039559,2.246272,1
277,0.775849,0.582360,0
278,1.510238,1.424201,0
279,0.464720,0.764998,0
280,0.302106,0.552703,0
281,0.663156,0.881042,0
282,1.066113,1.010132,0
283,0.634148,2.016107,1
284,0.050185,0.083832,0
285,0.425352,0.219801,0
286,2.067716,4.780285,1
287,0.534016,0.832355,0
288,1.993118,1.886111,0
289,0.476766,0.330553,0
290,2.262137,5.518468,1
291,0.733256,1.917713,0
292,4.417999,7.431964,1
293,0.093125,0.082891,0
294,0.566073,0.860059,0
295,0.063628,0.059144,0
296,0.154654,0.118521,0
297,0.220649,0.054953,0
298,0.252026,0.249714,0
299,0.614123,1.323050,0
300,0.199608,0.462727,0
301,0.396695,0.551372,0
